WaterYear,Flow_max,Flow_min,EWRProportion_max,EWRProportion_min,HeadTurbine1_max,HeadTurbine1_min,PowerTurbine1_max,LevelTailwater_max,LevelTailwater_min,Power_max,Power_min,Energy,CapFactor,Prop4Units,Prop3Units,Prop2Units,Prop1Units,Prop0Units,Days0Units,Exceedance
1991,905.4211927358452,175.04384955453037,0.41132550605595697,0.11800086178460895,25.390715534276705,21.812429457658553,59.428277804151875,967.4468608545924,964.3985022799416,59.428277804151875,21.92561448643812,406822.4433394195,0.25800510105239693,0,0,0,1.0027397260273974,0.0,0,0.25
1992,3573.2680912123824,163.87541321774722,0.4565834705329932,0.059487327941103986,25.378084489831753,14.446729107297035,59.83008964891336,974.812561204954,964.3985022799416,59.83008964891336,22.99849070962455,379157.89589287835,0.24046036015530084,0,0,0,1.0,0.0,0,0.75
1993,1839.4149794968628,155.86976452715123,0.4630204047405221,0.08077296967852735,25.390715534276705,18.589160203650366,60.521134781941754,970.6701301086006,964.3985022799416,60.521134781941754,17.445009045128526,370321.4388481175,0.23485631586004407,0,0,0,1.0,0.0,0,0.9500000000000001
1994,1231.9889272331854,132.8891725892938,0.5418048633843378,0.1009435991550382,25.42985043394149,20.563910443938386,60.655002779664876,968.6953798683127,964.3985022799416,60.655002779664876,11.65053752882236,343325.66463165963,0.217735708163153,0,0,0,1.0,0.0,0,1.0
1995,819.2739407352476,114.99803130518691,0.5323460868974058,0.15257411933280854,25.42985043394149,22.16750194651361,59.96189320164477,967.0917883657373,964.3985022799416,59.96189320164477,12.206308673420596,344048.04504083714,0.2181938388133163,0,0,0,1.0027397260273974,0.0,0,1.0
1996,1399.6225280663384,102.69188909931223,0.4965815093576722,0.09034545770358113,25.42907389311777,19.978317149309945,60.188433829212855,969.280973162941,964.3985022799416,60.188433829212855,9.716397609710405,364837.047651861,0.2313781377802264,0,0,0,1.0,0.0,0,0.9500000000000001
1997,3524.628422363977,156.55090676315066,0.5627652120752787,0.05340255853858957,25.355747252177487,14.543206101409694,59.55614295559742,974.7160842108412,964.4055219595392,59.55614295559742,19.105377233561644,366839.96507984615,0.23264837968026772,0,0,0,1.0,0.0,0,0.9500000000000001
1998,3420.728127398308,173.8393553723827,0.5616451299153826,0.06343678653148123,25.390709962790844,14.752223714424375,59.523816899834785,974.5070665978267,964.3986294372957,59.523816899834785,21.458716148439656,373390.1751142869,0.2368024956331094,0,0,0,1.0,0.0,0,0.8500000000000001
1999,3411.254881154899,193.63700368409016,0.4699514982604374,0.046898694988634436,25.426579423684398,14.771484317318098,59.442090613514566,974.4878059949327,964.3986294372957,59.442090613514566,21.872048601660453,385769.022338478,0.24465310904266743,0,0,0,1.0027397260273974,0.0,0,0.65
2000,3676.580923365921,140.01135876889322,0.491602748516731,0.06260931471784033,25.389848730337768,14.244610558309958,59.555520628879506,975.0146797539412,964.4110327639947,59.555520628879506,18.705156362992295,371000.0455535094,0.23528668540937936,0,0,0,1.0,0.0,0,0.9
2001,2029.000290301854,195.06159015785892,0.5288728309925945,0.0766337568277784,25.43646365925386,18.04558550463669,59.523816899834785,971.2137048076142,964.4055219595392,59.523816899834785,20.671376727694668,403236.3577226829,0.2557308204735432,0,0,0,1.0,0.0,0,0.30000000000000004
2002,3846.3561435461793,193.63700368409016,0.521612128558988,0.04248624536401992,25.436593820622374,13.920396479196668,60.609622450623476,975.3388938330544,964.3984031027992,60.609622450623476,20.63188733429689,379754.9168215778,0.24083898834448111,0,0,0,1.0,0.0,0,0.7000000000000001
2003,4338.666842200586,189.24387002768773,0.5024125600387559,0.05508604571232264,25.437591416462308,13.030836155543694,60.077093788107824,976.2284541567074,964.4000857830946,60.077093788107824,20.63188733429689,370675.46915809304,0.23508084040974953,0,0,0,1.0027397260273974,0.0,0,0.9500000000000001
2004,1337.006975956191,193.63700368409016,0.4836636196751263,0.09803521968703598,25.425151211235193,20.19302081842575,60.609622450623476,969.0662694938252,964.4079148338388,60.609622450623476,21.808952262479767,404271.9607940274,0.25638759563294483,0,0,0,1.0,0.0,0,0.30000000000000004
2005,2684.4461330713057,156.55090676315066,0.5372215426326648,0.07959321138524145,25.389848730337768,16.364078651620687,60.077093788107824,972.8952116606304,964.3986294372957,60.077093788107824,18.993169091453726,379384.98117371777,0.24060437669566068,0,0,0,1.0,0.0,0,0.75
2006,4543.004982908213,210.07891868084374,0.5024125600387559,0.04343108567408233,25.098972978644518,12.681491777110482,60.378249054595614,976.5777985351403,964.7073132720725,60.378249054595614,25.02354738469473,376578.41364042595,0.23882446324227927,0,0,0,1.0,0.0,0,0.8
2007,3367.2754716645045,236.8493354753479,0.491602748516731,0.05511374055623566,25.054767905537442,14.861355997135274,60.35514756202026,974.3979343151157,964.7341390045932,60.35514756202026,26.47545405122385,384405.4331771121,0.24378832646950285,0,0,0,1.0027397260273974,0.0,0,0.65
2008,5796.211608335895,181.5686791602694,0.4866309423946183,0.041233829292270686,25.390493420378352,10.8166013688885,59.555520628879506,978.5139615206017,964.4035372959668,59.555520628879506,21.808952262479767,370757.9826314091,0.2351331701112437,0,0,0,1.0,0.0,0,0.9
2009,5149.143297912559,213.4151960906308,0.4675851944402699,0.04743822111976796,25.098972978644518,11.723040811021136,60.35514756202026,977.5549108953533,964.7088155129636,60.35514756202026,25.02354738469473,378172.0759773263,0.23983515726618868,0,0,0,1.0,0.0,0,0.75
2010,4355.928308169298,224.7272915223594,0.4894821597093626,0.05183905737278062,25.091236257217666,13.000901238892384,60.378249054595614,976.2583890733586,964.718027393224,60.378249054595614,24.65312919963097,375297.9939826412,0.23801242642227372,0,0,0,1.0,0.0,0,0.8500000000000001
2011,3544.1893469576416,243.54989841925496,0.5411422389355465,0.06261418627549949,25.022281436903853,14.504303523262324,59.92445808736885,974.7549867889886,964.7454581316997,59.92445808736885,28.936939779447307,399371.70024057495,0.25327987077662034,0,0,0,1.0027397260273974,0.0,0,0.35000000000000003
2012,3614.802471283304,223.27342273667512,0.5082204133383662,0.05582617115854404,25.083495440288356,14.365019787261259,60.35514756202026,974.8942705249897,964.7165087764002,60.35514756202026,24.528540480066052,375527.8197247175,0.23815818095174882,0,0,0,1.0,0.0,0,0.8500000000000001
2013,3574.946118586839,195.06159015785892,0.4972788334264071,0.0564280508371138,25.43646365925386,14.443416016909465,59.555520628879506,974.8158742953417,964.4055219595392,59.555520628879506,20.671376727694668,383700.18713345175,0.243341062362666,0,0,0,1.0,0.0,0,0.7000000000000001
2014,1460.2532901744794,208.78068094814552,0.546605544348805,0.09987797054525636,25.09836214540534,19.774778027869235,60.378249054595614,969.4845122843816,964.7068898726284,60.378249054595614,25.316443398507253,406154.9927264821,0.2575818066504833,0,0,0,1.0,0.0,0,0.25
2015,2975.5243947206427,176.21817347356213,0.496598139278585,0.06734681198010581,25.390405347679728,15.697152661378098,60.077093788107824,973.5621376508728,964.4055219595392,60.077093788107824,21.96496474654646,376328.29104333295,0.2386658365317941,0,0,0,1.0027397260273974,0.0,0,0.8
2016,3889.991232059012,156.55090676315066,0.4872788054699379,0.04744248046738689,25.390405347679728,13.838595635286381,59.120258435591744,975.4206946769646,964.4055219595392,59.120258435591744,18.622057946861855,371940.6576899043,0.23588321771302911,0,0,0,1.0,0.0,0,0.9
