WaterYear,Flow_max,Flow_min,EWRProportion_max,EWRProportion_min,HeadTurbine1_max,HeadTurbine1_min,PowerTurbine1_max,LevelTailwater_max,LevelTailwater_min,Power_max,Power_min,Energy,CapFactor,Prop4Units,Prop3Units,Prop2Units,Prop1Units,Prop0Units,Days0Units,Exceedance
1960,6081.317073546183,201.17011281861926,0.4821789809675057,0.03467215810530008,19.832421655737946,18.063098006885255,47.37516750892597,970,970,180.32349744428046,17.316061872748804,902280.4583094451,0.5722225128801656,0.37534246575342467,0.11506849315068493,0.22465753424657534,0.28493150684931506,0.0,0,0.35000000000000003
1961,5569.845470794792,266.78604271350054,0.42751982499898,0.04608068852036901,19.70961836426433,18.063098006885255,47.912677116494855,970,970,179.0614365354742,27.052922151844026,999024.8485485439,0.6335774026817249,0.46301369863013697,0.07397260273972603,0.2547945205479452,0.20821917808219179,0.0,0,0.1
1962,7115.411678283417,283.6079686159883,0.42751982499898,0.038378226642973225,19.689069560982077,18.063098006885255,47.912677116494855,970,970,179.6974775581059,28.20059131146857,1055697.653511345,0.6695190598118625,0.5260273972602739,0.0684931506849315,0.2,0.2054794520547945,0.0,0,0.05
1963,2450.1297002835204,290.5219447532691,0.5197999855684006,0.06451716398849737,19.718124905213028,18.063098006885255,47.639399178298255,970,970,180.73696226308337,26.328524220910936,964107.524520308,0.6114329810504237,0.4,0.15342465753424658,0.1863013698630137,0.26301369863013696,0.0,0,0.15000000000000002
1964,2742.499149867776,264.1051871975735,0.4805230263991646,0.06850328613236198,19.726732771891054,18.063098006885255,47.639399178298255,970,970,179.3527442943367,25.764096367676444,847239.2355573496,0.5373155984001456,0.336986301369863,0.10410958904109589,0.22465753424657534,0.33424657534246577,0.0,0,0.5
1965,5396.328800163887,246.1954239432886,0.4728449071180803,0.03423857167995405,19.752853282238984,18.063098006885255,47.74268751121169,970,970,179.1431039573468,23.912038211449236,865960.7102192161,0.5491886797432877,0.3561643835616438,0.09315068493150686,0.22465753424657534,0.32602739726027397,0.0,0,0.45
1966,3452.248381930785,266.78604271350054,0.4932841965384821,0.04467195427194128,19.74149202759014,18.063098006885255,47.37516750892597,970,970,180.35647915046118,24.50054792673302,848568.4636319799,0.5381585893150558,0.33424657534246577,0.1232876712328767,0.18356164383561643,0.3589041095890411,0.0,0,0.5
1967,5513.419393582916,256.6827889882703,0.4533810345185399,0.03732467293302795,19.735821357790176,18.063098006885255,47.81242924031929,970,970,180.35647915046118,25.067816001411572,1004164.0600176323,0.6368366692146323,0.4602739726027397,0.08493150684931507,0.24383561643835616,0.2136986301369863,0.0,0,0.1
1968,8539.833006270135,281.3222739992266,0.3910106314592865,0.03587901921233733,19.67901627634036,18.063098006885255,47.42620448153672,970,970,182.4399701742284,29.500786910556954,1024307.4281250499,0.6496115094654046,0.4410958904109589,0.13150684931506848,0.2876712328767123,0.13972602739726028,0.0,0,0.05
1969,4873.665761819121,335.4728177879068,0.4355340706900914,0.043534345968618736,19.687307638122803,18.063098006885255,47.37516750892597,970,970,179.0340617313721,32.88306655210703,1029110.9611694642,0.6526578901379149,0.43561643835616437,0.13424657534246576,0.32602739726027397,0.10410958904109589,0.0,0,0.05
