Exceedance,VicFalls_full,VicFalls_overlap,VicFalls_factor_smooth,Ngonye_gauged,Ngonye_scaled,Ngonye_synthetic,Conversion
0.137,2356.4,2759.3134,0.8564186300412745,2800.0569,2398.020894335618,2400.9476928809067,1.0176629156066956
0.138,2356.4,2750.2,0.8556254579701296,2793.1876,2389.9224194464873,2398.020894335618,1.0142261158744217
0.139,2349.9,2746.6017,0.8543502329147475,2786.8948,2380.9842214888986,2380.9842214888986,1.0132278911821349
0.14,2342.5,2737.856,0.8529777852392424,2781.6369,2372.674482301752,2372.674482301752,1.0128813158171834
0.14100000000000001,2328.7,2736.7409,0.8522939210203778,2772.9786,2363.3928038995978,2363.3928038995978,1.0148979275559746
0.14200000000000002,2314.9,2724.0,0.8509197170863055,2765.8867,2353.5475282567754,2353.5475282567754,1.0166951178265908
0.14300000000000002,2302.5,2714.6629,0.8496622673242359,2760.6446,2345.6155501124085,2345.6155501124085,1.0187255375081037
0.14400000000000002,2299.0936,2707.3848,0.848645183676611,2755.4064,2338.362370431709,2340.403039963404,1.017080109496938
0.145,2285.806,2698.1,0.8479244303571585,2744.9419,2327.503296920996,2329.2281985902473,1.0182418354492884
0.146,2273.8,2685.2812,0.8472098837052602,2739.7155,2321.1140501404984,2321.1140501404984,1.020808360515656
0.147,2267.3,2672.2,0.8465952625923342,2729.2747,2310.591031333114,2313.666950983338,1.0190936494213885
0.148,2260.3,2672.2,0.8459281730823864,2726.667,2306.5644339140313,2306.5644339140313,1.0204682714303548
0.149,2246.7,2659.4,0.8459915459611086,2719.0816,2300.3200463784046,2300.3200463784046,1.0238661353889726
0.15,2233.3,2646.5,0.8459866789367799,2708.4407,2291.3047528902075,2291.3047528902075,1.025972665065243
0.151,2233.3,2644.4486,0.8450405851782927,2700.7369,2282.2322903886084,2291.3047528902075,1.0219103077905378
0.152,2232.5,2633.8,0.8443258494943964,2692.8568,2273.648605226762,2274.693816751147,1.0184316260814164
0.153,2219.9,2621.7326,0.8442327441358104,2685.0783,2266.831021428517,2266.831021428517,1.0211410520422168
0.154,2206.5,2621.0,0.8436577570917789,2673.1531,2255.226348708936,2255.226348708936,1.022083094814836
0.155,2193.2,2608.3,0.8428030380822243,2666.9631,2247.724603133187,2247.724603133187,1.0248607528420515
0.156,2193.2,2598.0768,0.8415824811470679,2659.2144,2237.9482526540114,2247.724603133187,1.0204031792148511
0.157,2179.9,2595.6,0.8401822073247383,2653.2614,2229.223019661525,2229.223019661525,1.022626276279428
0.158,2166.7,2583.8932,0.8388760084706152,2646.3197,2219.9341070731557,2219.9341070731557,1.0245692098920736
0.159,2166.7,2582.2,0.8369846060227877,2640.6395,2210.174611555711,2219.9341070731557,1.0200648966426877
0.16,2153.5,2573.1,0.8352029510055848,2630.2623,2196.8028348787366,2196.8028348787366,1.0201081192842985
0.161,2140.4,2570.4,0.8334461959257435,2622.7127,2185.8899228211358,2185.8899228211358,1.0212530007573986
0.162,2127.3,2570.4,0.8315919084563281,2612.608,2172.623672768271,2172.623672768271,1.021305726868928
0.163,2127.3,2557.8,0.8289350477298817,2607.7854,2161.684715018289,2172.623672768271,1.0161635476981568
0.164,2114.3,2554.9,0.8264995532971594,2600.1055,2148.9860342754873,2148.9860342754873,1.0164054459043121
