MonthId,Year,Month,Days,DateStart,WaterYear,WaterMonth,Flow_min,Flow_mean,Flow_median,Flow_max,Volume,Flow_range
1998.09,1998,9,30,1998-09-01,1997,12,211.8465362592262,249.23211733539898,245.88943515102028,290.82212701813904,0.6460096481333542,78.97559075891283
1998.1,1998,10,31,1998-10-01,1998,1,171.1880371594413,197.773477801486,200.08712330781785,211.8465362592262,0.5297164829435002,40.658499099784905
1998.11,1998,11,30,1998-11-01,1998,2,171.1880371594413,196.83188386690756,203.13617550585045,229.80761479382292,0.5101882429830243,58.61957763438161
1998.12,1998,12,31,1998-12-01,1998,3,240.7481067071258,343.19837925029344,334.52754855871035,438.2846747501724,0.9192225389839859,197.53656804304663
1999.01,1999,1,31,1999-01-01,1998,4,451.5366799972075,582.3457755490809,590.7697268322869,753.6113986124063,1.5597549252306586,302.07471861519883
1999.02,1999,2,28,1999-02-01,1998,5,759.333145353218,1000.2443341158167,925.8003823309042,1516.361400685438,2.419791093092984,757.0282553322199
1999.03,1999,3,31,1999-03-01,1998,6,1552.8856878026315,2291.9017898990264,2414.582978975514,2629.441756098137,6.138629754065552,1076.5560682955054
1999.04,1999,4,30,1999-04-01,1998,7,2639.746421124989,2978.653799360579,2880.2187637670977,3403.3238471521345,7.720670647942621,763.5774260271455
1999.05,1999,5,31,1999-05-01,1998,8,2013.9083433081928,2729.983619691468,2786.5050517933555,3373.2020563394613,7.311988126981627,1359.2937130312685
1999.06,1999,6,30,1999-06-01,1998,9,735.2730799990944,1318.1949799273702,1215.103463785877,2013.9083433081928,3.4167613879717433,1278.6352633090983
1999.07,1999,7,31,1999-07-01,1998,10,403.24511181635967,515.9941192495277,487.10127679430406,709.5637534250716,1.382038648997935,306.3186416087119
1999.08,1999,8,31,1999-08-01,1998,11,274.459512564875,335.261652967509,342.95875174717344,395.8054643784339,0.8979648113081762,121.34595181355888
1999.09,1999,9,30,1999-09-01,1998,12,205.17947419714488,234.8126215534859,239.65240649787216,267.8746929440384,0.6086343150666355,62.69521874689349
1999.1,1999,10,31,1999-10-01,1999,1,197.8839798091028,200.92404661426394,201.092876814556,205.17947419714488,0.5381549664516445,7.295494388042073
1999.11,1999,11,30,1999-11-01,1999,2,194.82051751954788,207.81700829209728,208.3234966334769,241.73783005863208,0.5386616854931161,46.91731253908421
1999.12,1999,12,31,1999-12-01,1999,3,249.63045022874292,309.76701159468604,291.5998503990588,395.8054643784339,0.8296799638552071,146.17501414969098
2000.01,2000,1,31,2000-01-01,1999,4,399.18383206454456,462.36439760026826,489.70984789572896,497.91981826045935,1.2383968025325587,98.73598619591479
