Year,MonthNo,MonthName,Energy
2007,6, Jun ,125.3
2007,7, Jul ,99.2
2007,8, Aug ,52.2
2007,9, Sep ,32.6
2007,10, Oct ,24.7
2007,11, Nov ,26.4
2007,12, Dec ,45.5
2008,1, Jan ,80.8
2008,2, Feb ,107.1
2008,3, Mar ,82.3
2008,4, Apr ,96
2008,5, May ,111.3
2008,6, Jun ,126.6
2008,7, Jul ,104
2008,8, Aug ,64.2
2008,9, Sep ,43.1
2008,10, Oct ,32.9
2008,11, Nov ,29.7
2008,12, Dec ,48.2
2009,1, Jan ,103.2
2009,2, Feb ,116.9
2009,3, Mar ,106.6
2009,4, Apr ,104.9
2009,5, May ,113.2
2009,6, Jun ,127.2
2009,7, Jul ,96.8
2009,8, Aug ,54.3
2009,9, Sep ,37.4
2009,10, Oct ,24.2
